train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1,Algorithm,classification
0.6011904761904762,0.6239583333333333,0.6011904761904762,0.5819964349376113,0.42783505154639173,0.5866756690818105,0.42783505154639173,0.45714693978759435,0.48736462093862815,0.6403580982164072,0.48736462093862815,0.5164283047100819,Naive Bayes,ER
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6498194945848376,0.6672139401205176,0.6498194945848376,0.6576047081748214,Decision Tree,ER
0.8824404761904762,0.8857238575959262,0.8824404761904762,0.8821897683873217,0.7731958762886598,0.7794141711667484,0.7731958762886598,0.7759602819135272,0.6028880866425993,0.6700118847915812,0.6028880866425993,0.6251766555714385,KNN,ER
0.6011904761904762,0.6133378308663042,0.6011904761904762,0.5902103375777047,0.6494845360824743,0.6762705203011156,0.6494845360824743,0.6606422488314017,0.6245487364620939,0.6574377061159407,0.6245487364620939,0.638146902028628,Logistic Regression,ER
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7148014440433214,0.648709245218515,0.7148014440433214,0.6626886442226826,Random Forest,ER
0.5,0.25,0.5,0.3333333333333333,0.7422680412371134,0.5509618450419811,0.7422680412371134,0.6324650765570671,0.7436823104693141,0.5530633789049774,0.7436823104693141,0.6343625505452535,SVM,ER
0.9642857142857143,0.9645490640952923,0.9642857142857143,0.9642806520198441,0.9484536082474226,0.9480181706915218,0.9484536082474226,0.9481053708365679,,,,,XGBoost,ER
0.6829268292682927,0.6660578868316464,0.6829268292682927,0.6452345086972108,0.6701030927835051,0.6464561855670102,0.6701030927835051,0.6347295316367481,0.628158844765343,0.5909886142738128,0.628158844765343,0.5926661767041677,Naive Bayes,PR
0.7627494456762749,0.8059407624999291,0.7627494456762749,0.7263189066782517,0.7628865979381443,0.7942048015330837,0.7628865979381443,0.7297286164854305,0.6353790613718412,0.5805731351427722,0.6353790613718412,0.567805614817175,Decision Tree,PR
0.6762749445676275,0.6577002171340601,0.6762749445676275,0.6307916083844208,0.6958762886597938,0.6887050640986069,0.6958762886597938,0.6515278731997652,0.6245487364620939,0.5670197213354418,0.6245487364620939,0.5639551191418695,KNN,PR
0.6696230598669624,0.6466269133187854,0.6696230598669624,0.6288270996206003,0.7061855670103093,0.7055762472763523,0.7061855670103093,0.6633404876675698,0.5992779783393501,0.5249332987135765,0.5992779783393501,0.5364140089455482,Logistic Regression,PR
0.9534368070953437,0.9565608551815986,0.9534368070953437,0.9525987551385655,0.979381443298969,0.9800158604282315,0.979381443298969,0.9792301233989378,0.6173285198555957,0.5507863149456332,0.6173285198555957,0.5520133296306582,Random Forest,PR
0.7405764966740577,0.7567918490999881,0.7405764966740577,0.7060645783069766,0.7938144329896907,0.8188788659793815,0.7938144329896907,0.7717059572729676,0.631768953068592,0.5797100831560956,0.631768953068592,0.5723405976199105,SVM,PR
0.926829268292683,0.9342589118198874,0.926829268292683,0.9245498218012121,0.9587628865979382,0.9612248038159718,0.9587628865979382,0.9581086439333862,,,,,XGBoost,PR
0.633423180592992,0.6603368343853951,0.633423180592992,0.6173662457816708,0.5,0.6793425717048017,0.5,0.5598786640666109,0.4693140794223827,0.6904511202796402,0.4693140794223827,0.5300962137672421,Naive Bayes,HER2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6534296028880866,0.705163299025868,0.6534296028880866,0.6764145136335656,Decision Tree,HER2
0.8423180592991913,0.8500103999524574,0.8423180592991913,0.8414469106310235,0.6494845360824743,0.7393556449093529,0.6494845360824743,0.6837958386291955,0.6173285198555957,0.7396129316085709,0.6173285198555957,0.6596012432611785,KNN,HER2
0.6981132075471698,0.7088180112570356,0.6981132075471698,0.6941940137035703,0.7319587628865979,0.7777319587628866,0.7319587628865979,0.750432782988399,0.6931407942238267,0.7265485966339553,0.6931407942238267,0.7082888616933627,Logistic Regression,HER2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8014440433212996,0.7328108056169442,0.8014440433212996,0.7533664525437008,Random Forest,HER2
0.5013477088948787,0.7503373819163293,0.5013477088948787,0.3363212655681906,0.8298969072164949,0.8034040409492452,0.8298969072164949,0.7661491785203125,0.8267148014440433,0.8568513577146445,0.8267148014440433,0.7517895822588962,SVM,HER2
1.0,1.0,1.0,1.0,0.9948453608247423,0.9949926362297495,0.9948453608247423,0.994874633910786,,,,,XGBoost,HER2
0.49002217294900224,0.6052043989091929,0.49002217294900224,0.5121504985895657,0.44329896907216493,0.46793580426671527,0.44329896907216493,0.44731421966229346,0.4332129963898917,0.4929468236896864,0.4332129963898917,0.4524931936769292,Naive Bayes,Mol Subtype
0.6829268292682927,0.6501002976829098,0.6829268292682927,0.617341936109364,0.7164948453608248,0.696160884321173,0.7164948453608248,0.6511516788749009,0.592057761732852,0.46416902960050477,0.592057761732852,0.5095221915480993,Decision Tree,Mol Subtype
0.656319290465632,0.6211398911509776,0.656319290465632,0.5386595288209274,0.6597938144329897,0.7154963026933664,0.6597938144329897,0.5391197542543082,0.6353790613718412,0.4604352862171383,0.6353790613718412,0.5164168656310656,KNN,Mol Subtype
0.6518847006651884,0.553088587627792,0.6518847006651884,0.5215123959918725,0.6443298969072165,0.4151610160484642,0.6443298969072165,0.5049607342533045,0.6425992779783394,0.41827371184771905,0.6425992779783394,0.5067192544410692,Logistic Regression,Mol Subtype
